Date,Open,High,Low,Close,Volume
2020-01-02,295.6727822642302,296.90650931546975,294.7497669040605,296.8882141113281,59151200
2020-01-03,293.49768030977805,295.7640816777263,293.44285049264414,294.6400146484375,77709700
2020-01-06,292.8854243272233,295.8463743777095,292.76661707449347,295.7641296386719,55653900
2020-01-07,295.19752718117184,295.67275622250656,294.4847115081981,294.9325256347656,40496400
2020-01-08,295.12441496646585,297.7197956916485,294.87768074616207,296.5043640136719,68296000
2020-01-09,298.0670453650865,298.58795656529105,297.4821567426061,298.51483154296875,48473300
2020-01-10,299.09971858480566,299.25506045062673,297.18973874984056,297.6557922363281,53029300
2020-01-13,298.2773104255387,299.71206160755526,297.84779146443003,299.70294189453125,47086800
2020-01-14,299.264269511989,300.31521183370324,298.68852837435486,299.2460021972656,62832800
2020-01-15,299.15459569341715,300.68073912701385,299.07235094750735,299.9222412109375,72056600
2020-01-16,301.3021641332184,302.4170837402344,301.07369722923175,302.4170837402344,54050300
2020-01-17,303.1299315092865,303.56857016247767,302.3531383755547,303.3583984375,95846000
2020-01-21,302.39877129641013,303.5685206625626,302.32567416247394,302.7643127441406,77742400
2020-01-22,303.62337862619233,304.27224473675494,302.6455614379162,302.8009033203125,48914900
2020-01-23,302.15208091700214,303.5594449783584,301.03716121185505,303.148193359375,51963000
2020-01-24,303.80614634423307,303.88839108132504,299.1636833310754,300.4522399902344,87578400
2020-01-27,295.20662007158137,297.1165998171226,294.86849355577584,295.6361389160156,84062500
2020-01-28,297.0618289224419,299.61152758511525,295.72758990467884,298.7342224121094,63834000
2020-01-29,300.0958733171972,300.3243402372707,298.28640527016483,298.4874572753906,53888900
2020-01-30,296.4220989348696,299.66634584075405,295.67274865407313,299.4561462402344,75491800
2020-01-31,298.83471866925794,298.99008843943227,293.104778599044,294.0186462402344,113845600
2020-02-03,295.49915167501734,298.067117900778,295.3803444015998,296.20281982421875,69083000
2020-02-04,299.8125346860519,301.5854399692841,299.492675464825,300.7172546386719,62573200
2020-02-05,303.65082382168174,304.4002020615823,302.1886577494263,304.19000244140625,65951100
2020-02-06,305.1495235533158,305.4054053572776,304.1351160486289,305.2135009765625,50359700
2020-02-07,304.153385374973,305.22259472273987,303.0384659191935,303.5867919921875,64139400
2020-02-10,302.7003838721832,305.91718787642037,302.66382135820703,305.85321044921875,42070000
2020-02-11,307.20577615157714,307.9916890041701,305.85324188570775,306.38330078125,54864500
2020-02-12,307.81803230663076,308.5674104828042,307.4524908196525,308.35723876953125,43992700
2020-02-13,306.9315156031581,308.9968650133152,306.65736651730623,308.0281677246094,54501900
2020-02-14,308.4394532632197,308.6405052446944,307.2422889745831,308.5216979980469,64582200
2020-02-18,307.52554106527845,308.5856306420383,306.3374966602275,307.7265930175781,57226200
2020-02-19,308.69538196134926,309.87425122864335,308.4120852020123,309.197998046875,48814700
2020-02-20,308.6497309601481,309.4722343689543,304.9394295733054,307.92779541015625,74163400
2020-02-21,306.57521018265294,306.88592186587607,303.9341190417113,304.7566223144531,113788200
2020-02-24,295.307216805096,304.82970245486194,293.5708458942109,294.64923095703125,161088400
2020-02-25,296.0382446469935,296.6505202633772,284.84336760311373,285.7206726074219,218913200
2020-02-26,287.1189586441504,290.7104521537765,283.93871677139504,284.6697998046875,194773800
2020-02-27,279.14996516623097,284.72456262234533,271.8847351074219,271.8847351074219,284353500
2020-02-28,263.83356488451,272.2320096468705,260.9457401669116,270.7424011230469,384975800
2020-03-02,272.5244912250123,282.53135414421934,269.0974871963839,282.4673767089844,238703600
2020-03-03,282.84193695147843,286.80811779338893,271.9395064628357,274.3795166015625,300139100
2020-03-04,279.7532286727096,286.13203646293175,277.20352949945715,285.9126892089844,176613400
2020-03-05,278.7113812011502,281.9007705498337,274.1694576163429,276.4084167480469,186366800
2020-03-06,267.9003132173233,273.0453928793516,265.231835125878,271.8390808105469,228667200
2020-03-09,251.58775678015627,259.71205370103047,249.8971239127328,250.6099395751953,309417300
2020-03-10,260.12333967774066,263.66912325632626,249.94283916733423,263.5777587890625,276444100
2020-03-11,256.52270624187776,257.6558934054065,247.54851762564883,250.728759765625,255316300
2020-03-12,233.95011542645673,243.69194779831977,226.3467299817304,226.7397003173828,392220700
2020-03-13,240.42944286501015,248.0968060321082,227.11439811378423,246.1228485107422,329566100
2020-03-16,220.40659381646842,234.7725944345364,216.9156266338003,219.191162109375,297240000
